"Species","Predictor","IRR","Lower","Upper","p_value","Sig"
"PCSH","Vegetation %",0.994,0.98,1.009,0.434,""
"PCSH","Tar Road %",0.986,0.967,1.005,0.156,""
"PCSH","Light Level (High)",0.344,0.178,0.665,0.002,"**"
"PCSH","Built-up (Present)",0.362,0.144,0.909,0.031,"*"
"PCSH","Moon %",1.001,0.993,1.01,0.722,""
"PCSH","Season (Non-Winter)",1.513,0.923,2.482,0.101,""
"PITE","Vegetation %",0.994,0.98,1.008,0.411,""
"PITE","Tar Road %",0.981,0.963,1,0.045,"*"
"PITE","Light Level (High)",1.29,0.658,2.531,0.459,""
"PITE","Built-up (Present)",1.087,0.48,2.464,0.842,""
"PITE","Moon %",1.002,0.994,1.011,0.575,""
"PITE","Season (Non-Winter)",1.314,0.635,2.718,0.462,""
"TAPH","Vegetation %",0.989,0.966,1.013,0.377,""
"TAPH","Tar Road %",0.984,0.953,1.017,0.34,""
"TAPH","Light Level (High)",0.819,0.237,2.829,0.752,""
"TAPH","Built-up (Present)",0.423,0.092,1.958,0.271,""
"TAPH","Moon %",0.995,0.979,1.011,0.54,""
"TAPH","Season (Non-Winter)",5.151,1.835,14.458,0.002,"**"
"NAMP","Vegetation %",0.992,0.968,1.016,0.494,""
"NAMP","Tar Road %",0.977,0.944,1.011,0.183,""
"NAMP","Light Level (High)",0.275,0.058,1.303,0.104,""
"NAMP","Built-up (Present)",0.376,0.082,1.724,0.208,""
"NAMP","Moon %",0.998,0.974,1.023,0.897,""
"NAMP","Season (Non-Winter)",12.14,2.407,61.241,0.002,"**"
