"Species","Predictor","IRR","Lower","Upper","p_value","Sig"
"PCSH","Vegetation %",0.995,0.982,1.008,0.461,""
"PCSH","Tar Road %",0.982,0.964,1,0.053,"."
"PCSH","Light Level (High)",0.398,0.212,0.746,0.004,"**"
"PCSH","Built-up (Present)",0.361,0.153,0.852,0.02,"*"
"PCSH","Moon %",0.999,0.992,1.007,0.881,""
"PCSH","Season (Non-Winter)",1.606,0.988,2.609,0.056,"."
"PITE","Vegetation %",0.994,0.981,1.007,0.377,""
"PITE","Tar Road %",0.98,0.963,0.997,0.022,"*"
"PITE","Light Level (High)",1.306,0.7,2.437,0.401,""
"PITE","Built-up (Present)",1.108,0.512,2.401,0.794,""
"PITE","Moon %",1.002,0.994,1.011,0.549,""
"PITE","Season (Non-Winter)",1.302,0.669,2.535,0.437,""
"TAPH","Vegetation %",0.992,0.97,1.015,0.5,""
"TAPH","Tar Road %",0.986,0.955,1.017,0.366,""
"TAPH","Light Level (High)",0.995,0.3,3.301,0.994,""
"TAPH","Built-up (Present)",0.391,0.088,1.732,0.216,""
"TAPH","Moon %",0.995,0.98,1.011,0.545,""
"TAPH","Season (Non-Winter)",4.28,1.601,11.441,0.004,"**"
"NAMP","Vegetation %",0.991,0.968,1.014,0.424,""
"NAMP","Tar Road %",0.975,0.943,1.009,0.146,""
"NAMP","Light Level (High)",0.282,0.064,1.25,0.096,"."
"NAMP","Built-up (Present)",0.368,0.083,1.625,0.187,""
"NAMP","Moon %",0.999,0.976,1.022,0.915,""
"NAMP","Season (Non-Winter)",11.452,2.466,53.183,0.002,"**"
