"Species","Value","Vegetation %","Tar Road %","Light Level","Built-up","Moon %","Season"
"PICE","Estimate",-0.004,-0.016,-0.918,-0.98,-0.001,0.489
"PICE","SE",0.007,0.009,0.327,0.438,0.004,0.252
"PICE","p",0.533,0.089,0.005,0.025,0.89,0.052
"PITE","Estimate",-0.007,-0.02,0.285,0.048,0.003,0.262
"PITE","SE",0.007,0.009,0.321,0.39,0.004,0.344
"PITE","p",0.28,0.027,0.374,0.902,0.519,0.447
"Tad.aeg/Mop.plic","Estimate",-0.008,-0.025,-1.234,-0.971,-0.001,2.464
"Tad.aeg/Mop.plic","SE",0.012,0.017,0.759,0.756,0.012,0.785
"Tad.aeg/Mop.plic","p",0.485,0.144,0.104,0.199,0.921,0.002
"Taph.","Estimate",-0.006,-0.014,0.013,-0.879,-0.005,1.462
"Taph.","SE",0.012,0.016,0.621,0.757,0.008,0.504
"Taph.","p",0.585,0.381,0.983,0.245,0.537,0.004
