"Site","Season","Species","Total_Calls","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat_5","Lux_cat_1","Builtup_cat"
"BERO1","non-winter","PICE",8,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","non-winter","PITE",35,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","non-winter","Taph.",1,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","non-winter","Tad.aeg/Mop.plic",0,70,30,7.66,0,85.7,"High","High","zero built-up"
"BERO1","winter","PICE",4,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO1","winter","PITE",3,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO1","winter","Taph.",1,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO1","winter","Tad.aeg/Mop.plic",0,70,30,0,0,14.8,"Low","Low","zero built-up"
"BERO2","non-winter","PICE",19,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","non-winter","PITE",12,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","non-winter","Taph.",51,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","non-winter","Tad.aeg/Mop.plic",5,50,50,8,0,96.8,"High","High","zero built-up"
"BERO2","winter","PICE",3,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO2","winter","PITE",6,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO2","winter","Taph.",1,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO2","winter","Tad.aeg/Mop.plic",0,50,50,17.03,0,55.1,"High","High","zero built-up"
"BERO3","non-winter","PICE",49,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","non-winter","PITE",11,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","non-winter","Taph.",16,60,40,26.66,0,96.8,"High","High","zero built-up"
"BERO3","non-winter","Tad.aeg/Mop.plic",2,60,40,26.66,0,96.8,"High","High","zero built-up"
