"Site","Season","PICE","PITE","Taph.","Tad.aeg/Mop.plic","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat","Builtup_cat"
"BERO1","non-winter",8,35,1,0,70,30,7.66,0,85.7,"High","zero built-up"
"BERO2","non-winter",19,12,51,5,50,50,8,0,96.8,"High","zero built-up"
"BERO3","non-winter",49,11,16,2,60,40,26.66,0,96.8,"High","zero built-up"
"BERO4","non-winter",2,102,1,0,70,30,28,0,99.1,"High","zero built-up"
"BERO5","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"BERO6","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CHBA1","non-winter",34,92,19,20,40,0,155,0,98.5,"High","zero built-up"
"CHBA2","non-winter",12,27,0,5,50,0,9,30,66.9,"High","built-up"
"CHBA3","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CHBA4","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CHBA5","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CHBA6","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CHKO1","non-winter",5,0,0,0,50,50,7,0,13.7,"High","zero built-up"
"ENDA1","non-winter",0,6,1,1,44,42,5,4,92.1,"High","built-up"
"ENDA2","non-winter",2,77,0,0,51.32,34.18,0,0,92.1,"Low","zero built-up"
"ENDA3","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"ENDA5","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"ENDA6","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"ENDA7","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"ENMA1","non-winter",9,132,0,0,71.4,28.6,2,0,79,"Low","zero built-up"
"ENMA2","non-winter",24,1,20,1,80,0,1,0,66.1,"Low","zero built-up"
"ENMA3","non-winter",11,51,48,6,80,20,0,0,66.1,"Low","zero built-up"
"ENMA4","non-winter",3,2,5,45,63,10,0,0,66.1,"Low","zero built-up"
"GITA1","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"GITA2","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"HILL4","non-winter",4,110,65,0,45,55,2,0,7.1,"Low","zero built-up"
"ITHI1","non-winter",77,4,1,0,89,11,0,0,22.3,"Low","zero built-up"
"JEWL1","non-winter",35,27,0,0,100,0,0,0,99.5,"Low","zero built-up"
"LACO1","non-winter",50,21,78,10,90,0,0,0,55.5,"Low","zero built-up"
"LACO3","non-winter",15,3,2,0,62,38,0,0,0.3,"Low","zero built-up"
"MITH1","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"MITH3","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"MITH4","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"MITH5","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"MITH7","non-winter",0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"PANO1","non-winter",0,5,2,8,0,0,69.33,100,98.4,"High","built-up"
"PANO2","non-winter",2,18,3,0,25,0,1,75,98.4,"Low","built-up"
"PANO3","non-winter",6,103,127,1,0,68,14,32,7.1,"High","built-up"
