Site,Lat,Long
BERO1,17.789885,83.385115
BERO2,17.77217,83.376065
BERO3,17.769386,83.369655
BERO4,17.775138,83.378548
BERO5,17.766333,83.36489
BERO6,17.760037,83.354381
CHBA1,17.793151,83.37998
CHBA2,17.786582,83.378295
CHBA3,17.784914,83.379005
CHBA4,17.787089,83.379376
CHBA5,17.788021,83.380264
CHBA6,17.788589,83.383207
CHKO1,17.778096,83.352048
ENDA1,17.782916,83.374612
ENDA2,17.782078,83.370045
ENDA3,17.781911,83.371341
ENDA5,17.779093,83.365625
ENDA6,17.77881,83.362318
ENDA7,17.781699,83.362589
ENMA1,17.793662,83.356888
ENMA2,17.792899,83.352778
ENMA3,17.791108,83.357148
ENMA4,17.79267,83.357054
GITA1,17.781605,83.376587
GITA2,17.780804,83.374519
HILL4,17.789051,83.369836
ITHI1,17.804717,83.387936
JEWL1,17.803728,83.3932329
LACO1,17.789583,83.372118
LACO3,17.788033,83.353368
MITH1,17.805752,83.368233
MITH3,17.803759,83.36692
MITH4,17.80262,83.366356
MITH5,17.804565,83.362175
MITH7,17.803854,83.364067
PANO1,17.7881925,83.3664431
PANO2,17.787503,83.367788
PANO3,17.789756,83.365445
PERU3,17.793386,83.381028
POPA1,17.79554,83.351846
POPA4,17.800658,83.350028
RADI2,17.772215,83.372843
RADI3,17.770998,83.37142
RUBE1,17.776844,83.380665
RUBE2,17.778992,83.38534
RUGR1,17.790363,83.377726
RUSH1,17.791893,83.381233
RUSH2,17.795106,83.385027
SAGA2,17.763166,83.356196
SARO1,17.791964,83.36182
SARO2,17.797248,83.366366
TEPA1,17.752753,83.350384
VVRO1,17.780804,83.374519
